2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [703.05]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [12], residualAmount: [1159.33], interestAmount: [20.94], capitalAmount: [703.05], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [456.28]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-11-20]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [456.28]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [7.98]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [464.26]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [456.28]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [464.26]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [13], residualAmount: [456.28], interestAmount: [7.98], capitalAmount: [456.28], installmentAmount: [464.26], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.CalculationServiceImpl:37 - Installments calculation end. Calculated: [13] installments
2024-04-13 23:43:29.307 [main] INFO  p.i.o.s.CalculationServiceImpl:42 - Calculation finished successfully
